tukey_lambda;shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
0,468952474;1,00908944;1,519818255;4;50;52,81000137
0,468902068;1,009287124;1,519205587;4;50;52,81000137
0,407621493;0,978342189;1,105811563;6;38;52,81000137
0,455176496;1,132975554;1,511575498;10;32;52,81000137
0,408616904;0,950937592;1,039258543;6;38;52,81000137
0,46460557;0,967149131;1,520208081;4;41;52,81000137
0,438825124;1,000329861;2;5;30;52,81000137
0,407956991;1,204302984;2;10;50;52,81000137
0,452888096;1,06551717;2;4;50;52,81000137
0,440471565;1,310038331;1,618235731;7;40;52,81000137
0,462777337;1,269139559;2;6;40;52,81000137
0,437643892;1,143814805;2;8;35;52,81000137
0,433008673;1,309048038;2;7;40;52,81000137
0,439165947;1,056095228;1,567629873;5;37;52,81000137
0,437676345;1,168727416;1,556930582;8;41;52,81000137
0,45412931;1,036861941;2;6;36;52,81000137
0,439688473;1,274232708;2;8;37;52,81000137
0,420769763;1,112044396;1,244104599;8;28;52,81000137
